代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数
671,ST阳光城,2023-03-31,3,7729.41,1.87,4424.1,0.8,2
682,东方电子,2023-03-31,4,5558.0471,4.15,-10244.633,11.79,6
683,远兴能源,2023-03-31,6,30579.4891,8.44,854.93,8.21,6
686,东北证券,2023-03-31,2,5414.652,2.31,260.72,2.2,2
690,宝新能源,2023-03-31,5,15866.1693,7.29,-1237.3037,7.86,5
1696,宗申动力,2023-03-31,1,276.3,0.24,276.3,0.0,0
708,中信特钢,2023-03-31,1,1659.2486,0.33,-222.6018,0.37,1
709,河钢股份,2023-03-31,1,2483.15,0.24,-920.37,0.33,1
710,贝瑞基因,2023-03-31,1,155.8841,0.44,-10.2059,0.47,1
712,锦龙股份,2023-03-31,2,1766.9366,1.97,84.47,1.88,2
713,丰乐种业,2023-03-31,2,601.6973,0.98,384.6521,0.35,1
717,中南股份,2023-03-31,1,475.99,0.2,-2080.42,1.05,2
719,中原传媒,2023-03-31,3,809.6889,0.79,175.9132,0.62,2
720,新能泰山,2023-03-31,1,508.97,0.41,97.19,0.32,1
721,西安饮食,2023-03-31,1,120.9987,0.21,120.9987,0.0,0
723,美锦能源,2023-03-31,2,3473.7322,0.8,-1066.1895,1.05,2
726,鲁泰A,2023-03-31,1,936.0,1.05,426.0,0.57,1
729,燕京啤酒,2023-03-31,2,2900.2337,1.03,1440.242,0.52,1
733,振华科技,2023-03-31,5,4457.9193,8.57,-296.0856,9.14,6
735,罗牛山,2023-03-31,1,799.1143,0.69,30.3989,0.67,1
736,中交地产,2023-03-31,2,648.5157,0.93,81.4157,0.82,2
737,北方铜业,2023-03-31,1,837.78,0.47,837.78,0.0,0
738,航发控制,2023-03-31,2,2594.8153,1.97,-306.82,2.21,2
739,普洛药业,2023-03-31,4,8722.9498,7.4,-466.4628,7.8,4
750,国海证券,2023-03-31,2,13459.227,2.47,276.3,2.42,2
751,锌业股份,2023-03-31,1,331.32,0.24,331.32,0.0,0
757,浩物股份,2023-03-31,1,320.0,0.5,6.48,0.49,1
758,中色股份,2023-03-31,3,1679.15,0.85,984.54,0.35,1
759,中百集团,2023-03-31,1,270.85,0.4,270.85,0.0,0
762,西藏矿业,2023-03-31,5,2340.9198,4.49,-1009.465,6.43,6
768,中航西飞,2023-03-31,4,5035.7808,1.81,1690.6222,1.21,3
776,广发证券,2023-03-31,2,11107.1647,1.46,499.75,1.39,2
777,中核科技,2023-03-31,1,197.3819,0.51,197.3819,0.0,0
778,新兴铸管,2023-03-31,3,4116.7701,1.03,-1500.2377,1.41,4
789,万年青,2023-03-31,1,271.4458,0.34,271.4458,0.0,0
791,甘肃能源,2023-03-31,1,226.76,0.14,226.76,0.0,0
795,英洛华,2023-03-31,1,260.24,0.23,-3.45,0.23,1
797,中国武夷,2023-03-31,1,516.5218,0.33,103.04,0.26,1
799,酒鬼酒,2023-03-31,5,2685.8707,8.27,-321.4565,9.26,5
800,一汽解放,2023-03-31,2,1163.1295,0.25,617.05,0.12,1
803,山高环能,2023-03-31,1,287.48,0.82,-25.608,0.89,1
807,云铝股份,2023-03-31,1,3568.2983,1.03,-130.2862,1.07,1
810,创维数字,2023-03-31,3,4974.2348,4.32,569.1402,3.83,3
811,冰轮环境,2023-03-31,4,4512.3017,6.05,1388.9995,4.19,3
812,陕西金叶,2023-03-31,1,163.468,0.21,163.468,0.0,0
818,航锦科技,2023-03-31,2,1739.0433,2.56,79.3328,2.44,2
819,岳阳兴长,2023-03-31,3,1622.5079,5.3,-351.4179,6.44,4
821,京山轻机,2023-03-31,2,2169.1108,3.48,681.7166,2.39,2
822,山东海化,2023-03-31,1,350.58,0.39,0.0,0.39,1
825,太钢不锈,2023-03-31,1,1429.9748,0.25,-533.41,0.34,1
829,天音控股,2023-03-31,1,600.0,0.59,600.0,0.0,0
830,鲁西化工,2023-03-31,4,2073.643,1.08,98.3613,1.03,3
831,中国稀土,2023-03-31,3,1081.4603,1.1,605.81,0.48,1
837,秦川机床,2023-03-31,1,380.98,0.42,49.1,0.37,1
848,承德露露,2023-03-31,3,1337.6414,1.24,1004.6388,0.31,1
850,华茂股份,2023-03-31,1,336.005,0.36,-17.085,0.37,1
852,石化机械,2023-03-31,2,678.72,0.72,678.72,0.0,0
858,五粮液,2023-03-31,4,9853.5924,2.54,-2289.4991,3.13,4
860,顺鑫农业,2023-03-31,6,7636.9359,10.3,1898.7163,7.74,3
875,吉电股份,2023-03-31,4,6650.7682,2.38,2237.3373,1.58,3
882,华联股份,2023-03-31,1,1257.09,0.46,236.61,0.37,1
887,中鼎股份,2023-03-31,2,1689.6248,1.28,-1396.0658,2.34,3
888,峨眉山A,2023-03-31,2,563.77,1.07,293.09,0.51,1
890,法尔胜,2023-03-31,1,133.9265,0.32,133.9265,0.0,0
895,双汇发展,2023-03-31,1,821.88,0.24,15.95,0.23,1
1896,豫能控股,2023-03-31,2,961.0269,0.63,961.0269,0.0,0
898,鞍钢股份,2023-03-31,2,3368.7648,0.36,1314.69,0.22,1
902,新洋丰,2023-03-31,2,1087.0007,0.83,-7599.2669,6.66,5
905,厦门港务,2023-03-31,1,357.1214,0.48,357.1214,0.0,0
906,浙商中拓,2023-03-31,4,1552.3462,2.26,1145.219,0.59,1
909,ST数源,2023-03-31,1,178.73,0.39,33.4,0.32,1
910,大亚圣象,2023-03-31,2,2340.3907,4.28,-376.12,4.96,2
913,钱江摩托,2023-03-31,1,525.082,1.0,525.082,0.0,0
915,华特达因,2023-03-31,2,820.0385,3.5,28.24,3.38,2
917,电广传媒,2023-03-31,1,1012.188,0.71,-421.63,1.01,1
918,*ST嘉凯,2023-03-31,1,709.99,0.39,709.99,0.0,0
921,海信家电,2023-03-31,3,2470.9732,1.81,-210.1708,1.97,3
922,佳电股份,2023-03-31,1,690.2272,1.16,-342.9072,1.73,2
923,河钢资源,2023-03-31,1,534.56,0.82,534.56,0.0,0
926,福星股份,2023-03-31,1,499.54,0.53,97.26,0.42,1
928,中钢国际,2023-03-31,5,2876.1204,2.25,1576.6967,1.01,2
929,兰州黄河,2023-03-31,2,252.49,1.36,121.8,0.7,1
930,中粮科技,2023-03-31,3,1599.7467,0.86,80.5951,0.81,2
932,华菱钢铁,2023-03-31,1,5444.315,0.79,5444.315,0.0,0
933,神火股份,2023-03-31,4,12200.7768,5.42,-6664.6853,8.38,5
935,四川双马,2023-03-31,2,3132.6125,4.1,-714.4707,5.04,3
937,冀中能源,2023-03-31,3,2919.2332,0.83,-197.3884,0.88,3
