bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,short_maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
113654,永02转债,y02zz,134.0,-0.2,603901,永创智能,yczn,16.79,-0.83,3.2,14.07,119.33,0,12.29,146.29,640208,shmb,C,2022-09-01,N,0,0,buy,AA-,,9.85,18.29,7.5,buy,28-08-04,5.375,6.104,3250.96,835.2,3.97,-2.35,,0,,,11:23:35,00,,Y,N,0,0,Y,,2023-02-10 开始转股,计算使用5.4年期 评级为AA- 债参考YTM：6.5024,N,6.105,全价：134.000 最后更新：11:23:35,,,,,buy
110047,山鹰转债,syzz,120.621,0.51,600567,山鹰国际,sygj,2.56,0.0,0.76,2.4,106.67,0,13.08,133.7,360102,shmb,C,2018-12-10,N,0,0,buy,AA+,,1.68,3.12,19.0,buy,24-11-21,1.671,22.455,2043.45,2320.09,0.76,-2.84,,0,,,11:23:22,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2019-05-27 开始转股,计算使用1.7年期 评级为AA+ 债参考YTM：3.0230,N,23.0,全价：120.621 最后更新：11:23:22,,,,,buy
113598,法兰转债,flzz,170.366,-2.14,603966,法兰泰克,fltk,14.26,-2.53,3.09,9.48,150.53,0,13.18,183.55,640203,shmb,C,2020-08-25,N,0,0,buy,AA-,,6.64,12.32,6.4,buy,26-07-30,3.359,2.752,6593.07,5652.11,13.9,-10.09,,0,本次（2023年2月9日至2023年3月1日）不提前赎回，以2023年6月1日之后的首个交易日重新起算,G,11:23:34,00,,Y,N,0,0,Y,,2021-02-08 开始转股,计算使用3.4年期 评级为AA- 债参考YTM：6.1432,N,3.3,全价：170.366 最后更新：11:23:34,,,,,buy
110063,鹰19转债,y19zz,120.761,0.49,600567,山鹰国际,sygj,2.56,0.0,0.76,2.4,106.67,0,13.21,133.97,360102,shmb,C,2020-01-03,N,0,0,buy,AA+,,1.68,3.12,15.3,buy,25-12-12,2.729,18.092,486.59,2320.09,0.22,-1.96,,0,,,11:23:30,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2020-06-19 开始转股,计算使用2.8年期 评级为AA+ 债参考YTM：3.1920,N,18.6,全价：120.761 最后更新：11:23:30,,,,,buy
110080,东湖转债,dhzz,118.647,0.4,600133,东湖高新,dhgx,6.12,0.33,0.7,5.84,104.79,0,13.22,131.87,620306,shmb,C,2021-05-12,N,0,0,buy,AA,,4.09,7.59,31.8,buy,27-04-11,4.058,15.491,2008.06,3842.34,1.09,-0.83,,0,,,11:23:36,00,R,Y,Y,0,0,Y,,2021-10-18 开始转股,计算使用4.1年期 评级为AA 债参考YTM：3.7956,N,15.5,全价：118.647 最后更新：11:23:36,,,,,buy
127050,麒麟转债,qlzz,131.598,0.02,002984,森麒麟,sql,33.1,-1.52,2.83,28.52,116.06,0,13.39,144.99,280204,szmb,C,2021-12-06,N,0,0,buy,AA,,19.96,37.08,22.5,buy,27-11-11,4.644,21.989,4572.67,10401.31,1.58,-2.95,,0,,,11:23:36,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2022-05-17 开始转股,计算使用4.7年期 评级为AA 债参考YTM：3.9327,N,21.99,全价：131.598 最后更新：11:23:36,,,,,buy
127028,英特转债,ytzz,131.834,0.52,000411,英特集团,ytjt,12.59,0.72,1.94,10.83,116.25,0,13.4,145.23,370402,szmb,C,2021-03-10,N,0,0,buy,AA+,,7.58,14.08,15.2,buy,27-01-04,3.792,5.758,3636.68,3016.38,4.79,-4.21,,0,,,11:23:36,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-07-12 开始转股,计算使用3.8年期 评级为AA+ 债参考YTM：3.3278,N,6.0,全价：131.834 最后更新：11:23:36,,,,,buy
127043,川恒转债,chzz,143.95,-0.35,002895,川恒股份,chgf,26.21,-0.38,3.16,20.68,126.74,0,13.58,157.53,220802,szmb,C,2021-09-23,N,0,0,buy,AA-,,14.48,26.88,8.1,buy,27-08-11,4.392,10.443,3664.76,8142.64,2.42,-4.03,,0,本次（2023年1月9日至2023年2月3日）不提前赎回，自2024年1月1日后首个交易日开始重新计算,G,11:23:36,00,R,Y,N,0,0,Y,,2022-02-18 开始转股,计算使用4.4年期 评级为AA- 债参考YTM：6.2579,N,11.6,全价：143.950 最后更新：11:23:36,,,,,buy
113649,丰山转债,fszz,132.12,0.21,603810,丰山集团,fsjt,16.05,1.39,1.61,13.8,116.3,0,13.6,145.72,220803,shmb,C,2022-07-21,N,0,0,buy,AA-,,9.66,17.94,19.4,buy,28-06-27,5.271,4.994,4736.37,2771.0,7.13,-1.78,,0,本次（2023年1月3日至2023年2月15日）不提前赎回，以2023年5月15日后首个交易日重新起算,G,11:23:31,00,,Y,N,0,0,Y,,2023-01-03 开始转股,计算使用5.3年期 评级为AA- 债参考YTM：6.4833,N,5.0,全价：132.120 最后更新：11:23:31,,,,,buy
128049,华源转债,hyzz,128.447,-0.83,002787,华源控股,hykg,8.34,-2.23,1.7,7.37,113.03,0,13.64,142.09,360203,szmb,C,2018-12-20,N,0,0,buy,AA-,,5.16,9.58,19.7,buy,24-11-27,1.688,3.631,2705.64,3026.27,5.78,-7.87,,0,,,11:23:36,00,,Y,N,0,0,Y,,2019-06-03 开始转股,计算使用1.7年期 评级为AA- 债参考YTM：5.5048,N,4.0,全价：128.447 最后更新：11:23:36,,,,,buy
